Series,,Number,,Year,,,
G.I. Joe - America's Elite,,33,-1,2008,,,
G.I. Joe - America's Elite,,34,-1,2008,,,
G.I. Joe - Cobra,,8,-1,2010,,,
G.I. Joe - Future Noir Special,,1,-1,2010,,,
G.I. Joe - Future Noir Special,,2,-1,2010,,,
G.I. Joe - Hearts & Minds,,3,-1,2010,,,
G.I. Joe - Hearts & Minds,,4,-1,2010,,,
G.I. Joe - Hearts & Minds,,5,-1,2010,,,
G.I. Joe - Hearts and Minds,,4,-1,2010,,,
G.I. Joe - Origins,,19,-1,2010,,,
G.I. Joe - Storm Shadow,,7,-1,2007,,,
G.I. Joe A Real American Hero,,31,2,2004,,,
G.I. Joe A Real American Hero,,32,2,2004,,,
G.I. Joe A Real American Hero,,33,2,2004,,,
G.I. Joe A Real American Hero,,34,2,2004,,,
G.I. Joe A Real American Hero,,35,2,2004,,,
G.I. Joe A Real American Hero,,36,2,2004,,,
G.I. Joe A Real American Hero,,37,2,2004,,,
G.I. Joe A Real American Hero,,38,2,2005,,,
G.I. Joe A Real American Hero,,39,2,2005,,,
G.I. Joe A Real American Hero,,40,2,2005,,,
G.I. Joe A Real American Hero,,41,2,2005,,,
G.I. Joe A Real American Hero,,42,2,2005,,,
G.I. Joe A Real American Hero,,43,2,2005,,,
G.I. Joe Cobra,,6,-1,2010,,,
G.I. Joe Cobra,,7,-1,2010,,,
G.I. Joe Cobra,,8,-1,2010,,,
G.I. Joe Cobra,,9,-1,2010,,,
G.I. Joe Cobra,,10,-1,2010,,,
G.I. Joe Cobra,,11,-1,2010,,,
G.I. Joe Cobra,,11,-1,2010,,,
G.I. Joe Cobra,,11,-1,2010,,,
G.I. Joe Cobra,,12,-1,2011,,,
G.I. Joe Cobra,,12,-1,2011,,,
G.I. Joe Cobra Special,,2,-1,2010,,,
G.I. Joe Cobra Special  - Chameleon,,2,-1,2010,,,
G.I. Joe Origins,,20,-1,2010,,,
G.I. Joe Origins,,21,-1,2010,,,
G.I. Joe Origins,,22,-1,2010,,,
G.I. Joe Origins,,23,-1,2011,,,
