b.CVDB_ID, b.Series, b.Number, b.Volume, b.FileName, b.PageCount, b.FileSize, b.ID 
None, Guarding the Globe, 1, , Guarding the Globe 01 (of 06) (2010) (variant cover) (Minutemen-TwiztiD-T).cbz, 1, 0.405836105347, 918690b3-f91f-46cd-b964-cfa3d7e17fa6
None, Guarding the Globe, 1, , Guarding the Globe 01 (of 06) (2010) (c2c) (Minutemen-TwiztiD-T).cbz, 31, 31.1051721573, 6d960212-965b-4dcb-bf50-4781328414ed
None, Guarding the Globe, 2, , Guarding the Globe 002 (2010) (noads) (EvilRobotAngel-CPS).cbz, 27, 17.3432521820, 7718e5ad-fbd9-410f-bb36-702f7ea26efe
None, Guarding the Globe, 2, , Guarding the Globe 002 (2010) (c2c) (EvilRobotAngel-CPS).cbz, 32, 19.0162630081, b2c81704-b481-4e06-94ae-5d3b2929a84c
None, Guarding the Globe, 2, , Guarding the Globe 02 (of 06) (2010) (two covers) (Minutemen-DTs).cbz, 26, 27.1239786148, fad63b10-0ca3-404f-999a-eadcfa8222ca
None, The Guild - Vork, , , The Guild - Vork (2010) (two covers) (Minutemen-DTs).cbz, 30, 28.4707078934, 134ef49d-c365-430c-9fc4-e454b3b1f788
None, Gumby, , , Gumby (2008) (FCBD) (c2c) (Spellboroboros-DCP).cbz, 37, 21.1109542847, 13e112c3-24b4-4b6d-a05e-db3c7bfd1321
None, Gunplay, 0, , Gunplay 00 (2008) (The Scangstas-DCP).cbz, 31, 13.7171077728, d10cc96f-5501-4186-8851-9ed422218425
None, Gunplay, 0, , Gunplay 00 (GN Preview) (2008) (Minutemen-Starsky & Hutch).cbz, 33, 15.4252004623, 1bf70f98-dd42-4e06-9935-d724dfd8ff45
None, Gunplay  GN, 0, , Gunplay 00 GN Preview (2008) (Minutemen-Starsky & Hutch).cbz, 33, 15.4252033234, 1906707f-a6aa-4313-ac03-96516f70c260
None, Gurren Lagann, , 4, Gurren Lagann v04 (2010) (case-DCP).cbz, 203, 137.423546791, 8c834274-6a4d-4291-9abf-9fd7f55f7af3
None, Gutsville, 3, , Gutsville 03 (2008) (The Scangstas-DCP).cbz, 32, 11.3969440460, b8131c2c-f36b-4fdd-af5c-288f7f23e339
